it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	l_22	l_23	l_24	l_25	l_26	l_27	l_28	l_29	l_30	l_31	l_32	l_33	l_34	l_35	l_36	l_37	l_38	l_39	l_40	l_41	l_42	l_43	l_44	l_45	l_46	l_47	l_48	l_49	l_50	l_51	l_52	l_53	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	m_22	m_23	m_24	m_25	m_26	m_27	m_28	m_29	m_30	m_31	m_32	m_33	m_34	m_35	m_36	m_37	m_38	m_39	m_40	m_41	m_42	m_43	m_44	m_45	m_46	m_47	m_48	m_49	m_50	m_51	m_52	m_53	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49	r_50	r_51	r_52	r_53	
0	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.46587490592273806	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.24139965918533612	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193	0.22447524673740193
1000	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.15901771451085303	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	0.16382774897813726	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299	-0.0048100344672842299
2000	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.15796233792875977	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.4353819691332006	0.87537041294532969	0.87537041294532969	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.11253841848859113	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	0.094450089442455337	-0.71740807501656989	-0.71740807501656989	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.045423919440168645	0.063512248486304435	0.063512248486304435	0.063512248486304435	0.063512248486304435	0.063512248486304435	0.063512248486304435	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523	0.34093187969074523
3000	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.1491760455060504	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	0.22319560945515457	1.0822687506283262	1.0822687506283262	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.12006740785145069	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	0.099914326659754096	-0.93309270512227571	-0.93309270512227571	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.029108637654599714	0.049261718846296307	0.049261718846296307	0.049261718846296307	0.049261718846296307	0.049261718846296307	0.049261718846296307	0.049261718846296307	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047	0.12328128279540047
4000	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.13729584064092537	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	0.34346876734778453	1.207990487068229	1.207990487068229	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.11953396103531365	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	0.081585643363958196	-1.0706946464273037	-1.0706946464273037	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.017761879605611722	0.055710197276967174	0.055710197276967174	0.055710197276967174	0.055710197276967174	0.055710197276967174	0.055710197276967174	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635	0.26188312398382635
5000	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.14985658888158498	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	0.27857827753014347	1.0454792992546893	1.0454792992546893	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.13615634630673634	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	0.086230317608106385	-0.89562271037310426	-0.89562271037310426	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.013700242574848642	0.063626271273478599	0.063626271273478599	0.063626271273478599	0.063626271273478599	0.063626271273478599	0.063626271273478599	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707	0.19234795992203707
6000	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.14750351677214404	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	0.32571724796661067	1.3229396678401499	1.3229396678401499	0.18579410033133836	0.18579410033133836	0.18579410033133836	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.11488954594005092	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	0.061536756728338686	-1.1754361510680058	-1.1754361510680058	-0.038290583559194319	-0.038290583559194319	-0.038290583559194319	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.032613970832093123	0.085966760043805351	0.085966760043805351	0.085966760043805351	0.085966760043805351	0.085966760043805351	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197	0.26418049123827197
7000	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.13180286667412261	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	0.33731948901167619	1.151198287620395	1.151198287620395	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.13049437589297122	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	0.068585747923370896	-1.0193954209462723	-1.0193954209462723	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.0013084907811513891	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.063217118750751713	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528	0.26873374108830528
